0	小姐姐素质很高，每次解决问题很快
1	成立业主委员会吧，然后申请换物业
1	要先成立业主委员会，然后要向房管局审请公共维修基金才可以
2	主卧南次卧地板破损
1	灰尘那么多都没有打扫
2	听语音操作哈
2	我还以为您是让平时卖菜的业主给你送菜
2	可以顺丰到付
2	不按时交房，还要承担其他责任
2	亲爱的家人们下午好[玫瑰]☁天气：晴今日对园区绿化带等公共区域进行消杀！
0	客服做得也还不错有什么都能及时解决。
2	不在就跑了
2	电梯有过载保护，超重会报警
1	成立委员会辛苦你啦[玫瑰]
1	D区的车库脏乱差还臭，从公共收益来说，D区不说最高但是也不差，可不可以从里面挤出微薄的一丢丢整改一下D区，和ABC三个区比简直就是平民窟[捂脸]
2	亲们花郡一栋一共多少层啊
1	我是35-404业主，我同意成立委员会！
1	地上都是粉尘成堆
2	早，美女，我在上海回不去，麻烦你帮我领一下放在你那或者帮我放在2306房间，谢谢啦！
2	学樘府维权，都晓得
2	那以后临时停车都不要收费了吧
2	大门是不是破损了
2	这个跳楼的妹儿，你们这些年龄的阿姨不应该说她自私吗？都不想想自己的妈老汉，就因为个狗就跳楼，没出息什么的?
2	对我俩号哈哈哈
1	物业费年年交，门禁它就年年坏，烦死人[叹气]
2	我们已经装完了
2	亲，不好意思，机器的是绿化单位的。
1	好多垃圾啊，麻烦派人打扫一下
2	自行车容易被偷盗
1	自己在电梯里面被困半小时，打电话给监控室，监控室过来直接让业主打电梯里面的维保电话，业主打了119，过了5分钟左右电梯自己掉到了5楼开门，后续物业也不管了，电梯还是正常上下人，这是拿业主生命开玩笑，不负责任的表现
2	到时候损坏地面要从您装修押金里面扣钱的
1	@成都万达城别墅管家?管家，业主反映的这个车今晚就这样停在院子里面？你们没有管理手段和管理措施？
1	这个搞卫生阿姨得批评，一直占用着电梯
2	这么高的物业费。看哪个小区还在用这种垃圾车
2	@一诺千金 业主你好，监控室一直有人接电话，电梯里被困人员每打一次电话监控室都是接了的，
1	杂草有点高[奸笑]
2	我觉得把车库承包给我们小区业主委员会最合适，我们自己定价
0	很满意管家处理事情的效率
2	广州一小区发生电梯故障
1	你把灰尘弄一下
2	也可以考虑去消防局投诉，幼儿园红线都划到我们小区门口了，消防是怎么批准的？
1	5-2三楼堆放的杂物，全部是木质的东西，火灾隐患很大
2	这个是小米厂家电话
2	旁边小区的保安的态度挺不错的
1	电梯三天两头坏的话大家要同心协力的维权的要不然再过一年半载就麻烦了
2	烟头留下来拿去验指纹
2	周一至周四免预约
2	非常感谢各位通情达理，热心的好邻居们支持我爸。感谢大家[玫瑰][玫瑰][玫瑰]。昨天在物业的帮助下已经解决了事情。但是真的很想总结一下，在这个小区不会骂人，不会国骂真的很受欺负。在事情解决中受各种气，最后，还要被人家倒打一耙。学会骂人很重要[捂脸][捂脸][捂脸]
2	已跟领导反映
2	现在不用管他，就让他自己烧着大概要两三个小时因为第一次使用
2	他家如果没有问题，我吃屎
1	4栋东边电梯故障了，
2	私人的东西，物业是无权动，损坏东西要赔偿。
2	@锦绣东方朱海洪 中秋，国庆双节日，小区业主没有发放点福利吗？
2	要水表号是吗？
0	物业服务态度好的很
1	看这破门口赶上贫民窟了，虽然不是什么高档小区，还没入住就破烂不堪了，毕竟是个新小区，一点也不顾及小区形象及影响吗？
1	物业老师，麻烦你们除了收费，还是做点点最基本的事情。
2	感谢邻居们的热情关注我好几天没看新闻了[捂脸]
1	就是应该加快安监控，虽然大部分人都是有素质的，总有一些没责任心的人朝楼下丢东西，只有用实际行动来阻止高空抛物
1	小强不是一般的多[困]
1	这电梯发出来的声音也太大了吧
2	报警系统误报，已排除故障。没事了
2	五期的李鹏总管总体上还是很努力管理了的，这个停车是外来人员不讲道理了。[微笑]
2	还有多久啊
1	动不动就挨陌生人敲门，动不动就有小偷进家里
0	事事有回复，句句有回应，件件有着落。为尽职尽责物业管家点赞
2	隔壁小区的环境挺好的
2	估计你们住的离小偷有点近
2	开门是方便小区业主的改善民生举措……小区被盗事件那是警察叔叔日常管理工作范畴！
1	管家，4，5，6号楼门口的绿化太差了，尤其4号楼门口，草都快死了，就种了两颗没精神的小树[捂脸]
2	发票还没开好吗？
2	偷鸡偷鸭那种。
1	园区里杂草丛生你们看不到吗？
2	@1号楼3单元管家陈舒宇19913711354 你把我们这个单元的刷卡楼层临时取消了吧坠梯起码还可以按键自救
1	投诉了那么多次两个负责人才上门这就是你们解决问题的态度！
1	这些电动车停得我真是没脾气
1	我们29号楼1单元门几个月不能锁，没人管
1	你好！18号负一楼电梯口蚊子太多了，麻烦你们想想办法
1	物管要是不管就直接投诉嘛
2	这是多少度
2	对面小区也是有很多杂物
0	安保非常负责，每层楼都在巡查
1	今天说有跳楼的啊
2	@张义祥 打客服电话15982468622
0	保洁阿姨干活很细致！
2	她要是再不处理，就算了，看她放到什么时候，还是做生意的呢，按风水学说，这个枯萎的花篮会旺财吗，真是好笑[偷笑]
2	下午大概几点
2	外来人员可能性很大
1	这些树木都已经枯死了，需要更换了
2	我是B12杠二的入库，那个我说的那窗户是玻璃例子啊，那个报修老长时间了，我们一直也没得到修理，那个客服你们今天正好我在家，你们过来一个看一看呗
1	园区的绿植都枯萎了
2	我还喜欢烧麦
2	不客气
2	您家有工人吗
2	@12一4 嗯，怎么了
1	乙单元电梯口有狗尿，请清理一下。
2	有几张凳子到了
1	我们积极支持成立业主委员会
1	尊敬的业主：您好，印象春城居委会刚刚接到了社区医院来电，告知印象春城33号楼刚刚来了一位密切接触者。现在正在紧急采取封楼措施，将印象春城33号楼封楼观察48小时特此告知各位业主居家非必要不外出，并做好个人防，为了大家的安全护，地库此门暂时关闭，请您及时配合，谢谢！
2	[强][强][强]
1	这样频繁出现故障，是否存在安全隐患
2	好的😄
1	一直没保洁打扫
1	发现部分保安有脱岗现象
2	17号车位
1	C座电梯有一个出故障的
1	老人跳楼自杀了
0	感受到咱物业的贴心管理了
2	办不到产权应该也没人敢买
2	好的，19号戓是20号中午出去签
2	2-2302明天中午
2	不见得换了物业我们小区就变好
2	车被盗有钱赔的那种
1	万邦客服这灯不亮了
2	31号楼501
2	不是花盆淋水，应该是洗衣机放消防平台，然后漏水的。
1	不知道物业是干什么的从去年反映到今年多不处理
2	您这边房子装修好了吗？有没有查过用电情况。如果符合空置减免的政策，我先给您申请下。
1	防火门什么时候修好？要是发生火灾安全事故怎么办，重视一下…
1	今天这个死人事件，小区安全堪忧
1	保洁阿姨的素质很差
2	[抱拳][抱拳][抱拳]
2	祝您生活愉快，身体健康[玫瑰][玫瑰]
2	我带师傅维修一下主卧软包破损的[咖啡]
2	至于嘛
1	保安态度极其恶劣
2	@花样年花郡租售18180992752 你好，出租车位你们可以吗？
2	有时间规定没
2	你也在一个律师搞的维权群里面的，在那里面我就看出了。
2	唐山一小区发生坠梯事故，一名孕妇被关。
2	打棉胎了
1	小白：6号楼23楼过道楼梯那边有很重的尿骚味，水冲了几次还有，你们叫保洁看看具体哪个位置洗一下
2	维湾这么大的小区，要成立业主委员会的条件很苛刻，理论上基本达不成。
2	多少栋
2	揪心，一两岁男童掉进了烧着开水的大锅里
1	我觉得你们真的得好好修理一下了，总是经常爆管
2	天气炎热，希望大家注意用电、用气安全，防止火灾隐患！
1	天天爆管，都不知道你们物业在干嘛
1	我的房子前两天被盗了，怎么回事？
1	这管家一天干嘛呢？管家从来没有在楼下，还尽催管理费？
2	那你看到苍蝇没
1	成立业委会，解决了很多问题
2	大家晚上好，请问谁有开发商的位置，请帮忙发一下
2	非得给这个服务员差评
1	着火的事情，麻烦物业后续跟踪反馈一下，着完就完了吗，最好通告警示一下
2	那应该就是眼里只有屎
2	@绿地北门嘉品云市便利店 都有啥青菜
2	实在不好意思哈！打扰了！更感谢各位亲们的理解，我们也会注意的，还有一扇窗，要不到好久了
2	你给医保本收费员才知道你要用居民医保啊
1	这些是为了推动成立业委会天天各个部门奔波的人
2	公民的基本素质
1	多听一下群众声音多改善一下物业服务嘛
1	客服玩忽职守，打了几次电话都没人接
0	一号岗女保安服务态度好[强]
1	隔壁在敲什么那么吵,地板都在振动
2	解决大家实质关注问题就行
1	小区发生了车祸的安全事故
2	@晴天
2	嗯，等会来
2	是不是这种颜色也特别不耐脏啊，我看其他小区车库地面是深绿色会不会好一点
1	关键是你得先成立委员会[捂脸]
2	6214467873118287298没错吧
2	1101
2	随便几个都得
2	收到谢谢[抱拳]
1	各位邻居如果需要找商铺协商噪音扰民问题我愿意参加提前定一下协商时间就好
2	还有人拼没有？[呲牙]
1	送完孩子回来，被堵在车库门口，保安态度极度恶劣
2	不打官司为啥打司法？边陲小城的办事效率就是差
2	你直接给社区打电话
2	@龙行天下 关猫的还是关狗的？
1	物业，臭水都从消防通道那里趟我们家门口了，你们到底处理不处理，点都不作为！你们也好意思收物业费！
2	砸死人就是另外一回事了
3	关于国庆节日禁止噪音施工的温馨提示尊敬的各位业户/施工人员：您好！十一国庆假期就要到了，物业服务中心全体员工向您和您的家人表示诚挚的节日问候，祝愿大家节日快乐，合家安康！为了您能度过一个愉快的假期，物业服务中心提醒您注意以下事项：1. 因小区已有大部分业户入住，为不影响已入住业户的休息，维护小区内业户关系和谐，本小区在国庆中秋放假期间（10月1日-10月7日）将禁止携带电钻、电锤等产生噪音的装修工具进场，国庆中秋节放假期间禁止敲、凿、刨、钻等产生噪音的装修活动，如发现有噪音施工装修的，物业将采取强制措施停止施工，请各位业户自觉遵守，同时转告您的装修工人。2. 外出度假前请将冷热水阀、天然气阀门、门窗关好，特别注意长期不在家时要关掉户内电源，以免发生意外。3. 如果您委托他人看管房屋，请将房屋钥匙一并留给委托人，以便发生突发事件时服务中心能及时处理4. 节日期间，提醒您注意健康饮食，注意休息。5. 为了在出现意外情况时能够及时联络到您，请联系方式已经改变的住户尽快到物业服务中心更新您的联系方式。    放假期间请广大业户积极配合，共同维护小区公共秩序安全。         万达华府物业服务中心2021年9月30日
1	阳台有很多杂草需要人去清理了
1	儿童游乐场休息时间又有小孩子在玩闹，希望物业加强管理
2	昨天在吹头发，突然烧着了
1	你们就不能在西门车库竖个牌子吗？外来车辆禁止进入，每天因为这个堵在门口堵半天
1	上次不是有位领居衣服，还有什么地方都被丢下的烟头烫伤了，后面处理的结果怎么样？没有在群里里说了[捂脸]
2	👌
1	今早有个邻居联系我，还问我为什么我车位那边异味这么大………
2	污水排进鱼塘严重污染环境的违法行为没有部门管理吗
1	门口的纸箱拿走了，烟头和纸不扫干净，地上厚厚的污渍不拖干净
1	成立业主委员会比较难！业主没问题！关键是社区和行政主管部门没心思！也许散沙的业主他们好管（不是服务）一些！这一公里太远[偷笑]
